trip_id,start_time,end_time,headway_secs,exact_times
BEST_AC_98299_1,05:25:00,23:05:00,660,0
BEST_AC_98300_1,07:17:00,22:17:00,600,0
BEST_AC_98301_1,06:10:00,20:35:00,840,0
BEST_AC_98302_1,05:50:00,23:05:00,600,0
BEST_AC_98303_1,06:00:00,21:30:00,900,0
BEST_AC_98304_1,06:35:00,22:15:00,900,0
BEST_AC_98305_1,07:30:00,21:14:00,480,0
BEST_AC_98306_1,07:20:00,19:53:00,600,0
BEST_AC_98307_1,06:10:00,21:15:00,480,0
BEST_AC_98308_1,21:26:00,23:05:00,180,0
BEST_AC_98310_1,00:00:00,23:50:00,600,0
BEST_AC_98311_1,05:50:00,16:42:00,600,0
BEST_AC_98312_1,00:02:00,23:57:00,240,0
BEST_AC_98313_1,06:30:00,22:00:00,1800,0
BEST_AC_98314_1,00:04:00,23:50:00,300,0
BEST_AC_98315_1,00:06:00,23:59:00,300,0
BEST_AC_98316_1,06:29:00,23:00:00,720,0
BEST_AC_98317_1,06:30:00,22:30:00,1200,0
BEST_AC_98318_1,06:35:00,22:25:00,600,0
BEST_AC_98319_1,07:00:00,22:30:00,1800,0
BEST_AC_98320_1,06:05:00,21:45:00,780,0
BEST_AC_98321_1,00:00:00,23:50:00,300,0
BEST_AC_98322_1,06:30:00,21:50:00,1200,0
BEST_AC_98323_1,05:30:00,22:35:00,480,0
BEST_AC_98324_1,06:00:00,23:15:00,300,0
BEST_AC_98325_1,07:35:00,20:40:00,300,0
BEST_AC_98326_1,06:00:00,23:15:00,600,0
BEST_AC_98327_1,07:30:00,21:30:00,180,0
BEST_AC_98328_1,00:00:00,23:50:00,480,0
BEST_AC_98329_1,07:03:00,19:54:00,960,0
BEST_AC_98330_1,00:11:00,23:59:00,240,0
BEST_AC_98331_1,00:00:00,23:35:00,180,0
BEST_AC_98333_1,04:30:00,20:56:00,120,0
BEST_AC_98334_1,21:02:00,22:00:00,300,0
BEST_AC_98335_1,06:20:00,22:45:00,420,0
BEST_AC_98336_1,06:15:00,23:35:00,600,0
BEST_AC_98337_1,06:20:00,23:05:00,300,0
BEST_AC_98338_1,00:00:00,23:55:00,300,0
BEST_AC_98339_1,05:40:00,22:10:00,720,0
BEST_AC_98340_1,06:05:00,21:05:00,900,0
BEST_AC_98341_1,08:30:00,19:52:00,1800,0
BEST_AC_98342_1,05:45:00,22:30:00,600,0
BEST_AC_98343_1,06:15:00,22:15:00,1200,0
BEST_AC_98344_1,06:05:00,21:15:00,1320,0
BEST_AC_98345_1,06:30:00,22:15:00,1920,0
BEST_AC_98346_1,00:00:00,23:40:00,480,0
BEST_AC_98347_1,05:15:00,07:13:00,540,0
BEST_AC_98348_1,06:40:00,23:30:00,900,0
BEST_AC_98349_1,00:13:00,23:59:00,120,0
BEST_AC_98350_1,06:30:00,21:30:00,480,0
BEST_AC_98351_1,06:00:00,21:35:00,840,0
BEST_AC_98353_1,05:30:00,05:50:00,600,0
BEST_AC_98354_1,06:00:00,22:00:00,1200,0
BEST_AC_98355_1,05:20:00,23:40:00,840,0
BEST_AC_98356_1,06:10:00,23:10:00,960,0
BEST_AC_98357_1,06:35:00,22:15:00,480,0
BEST_AC_98358_1,22:35:00,23:13:00,1140,0
BEST_AC_98359_1,06:00:00,22:45:00,480,0
BEST_AC_98360_1,06:00:00,22:05:00,900,0
BEST_AC_98361_1,08:18:00,19:11:00,1680,0
BEST_AC_98362_1,05:55:00,21:45:00,1260,0
BEST_AC_98363_1,07:05:00,23:35:00,1380,0
BEST_AC_98364_1,05:50:00,23:00:00,1020,0
BEST_AC_98365_1,06:00:00,22:30:00,1320,0
BEST_AC_98366_1,11:15:00,14:24:00,1860,0
BEST_AC_98367_1,05:35:00,22:00:00,600,0
BEST_AC_98368_1,06:00:00,21:35:00,1200,0
BEST_AC_98369_1,06:13:00,21:52:00,960,0
BEST_AC_98370_1,00:02:00,23:56:00,180,0
BEST_AC_98371_1,05:38:00,22:00:00,360,0
BEST_AC_98372_1,05:53:00,23:30:00,420,0
BEST_AC_98373_1,06:30:00,22:00:00,180,0
BEST_AC_98374_1,00:00:00,23:55:00,300,0
BEST_AC_98375_1,06:25:00,21:00:00,600,0
BEST_AC_98376_1,06:00:00,23:00:00,360,0
BEST_AC_98377_1,06:00:00,21:40:00,1200,0
BEST_AC_98378_1,06:00:00,22:35:00,360,0
BEST_AC_98379_1,06:48:00,22:10:00,2160,0
BEST_AC_98380_1,06:50:00,21:00:00,960,0
BEST_AC_98381_1,06:05:00,21:45:00,900,0
BEST_AC_98382_1,06:12:00,22:12:00,240,0
BEST_AC_98383_1,06:30:00,21:50:00,900,0
BEST_AC_98384_1,06:30:00,21:35:00,360,0
BEST_AC_98385_1,00:20:00,23:46:00,1140,0
BEST_AC_98386_1,09:34:00,19:50:00,960,0
BEST_AC_98387_1,06:14:00,22:00:00,60,0
BEST_AC_98388_1,07:50:00,23:55:00,1800,0
BEST_AC_98389_1,06:00:00,23:55:00,600,0
BEST_AC_98390_1,06:15:00,20:35:00,600,0
BEST_AC_98391_1,05:50:00,22:15:00,420,0
BEST_AC_98392_1,07:15:00,21:50:00,2220,0
BEST_AC_98393_1,06:20:00,22:20:00,300,0
BEST_AC_98394_1,06:05:00,23:00:00,300,0
BEST_AC_98395_1,05:45:00,22:40:00,420,0
BEST_AC_98396_1,06:05:00,23:35:00,300,0
BEST_AC_98397_1,06:00:00,22:05:00,900,0
BEST_AC_98398_1,00:05:00,23:55:00,300,0
BEST_AC_98399_1,06:25:00,22:11:00,1200,0
BEST_AC_98400_1,07:00:00,21:15:00,2100,0
BEST_AC_98401_1,00:00:00,23:50:00,600,0
BEST_AC_98402_1,00:00:00,23:50:00,600,0
BEST_AC_98403_1,05:50:00,07:14:00,120,0
BEST_AC_98404_1,06:30:00,21:40:00,900,0
BEST_AC_98405_1,06:20:00,07:13:00,1200,0
BEST_AC_98406_1,08:04:00,21:40:00,1800,0
BEST_AC_98407_1,06:55:00,21:40:00,900,0
BEST_AC_98408_1,06:00:00,22:35:00,420,0
BEST_AC_98409_1,05:25:00,22:15:00,900,0
BEST_AC_98410_1,05:30:00,20:25:00,1440,0
BEST_AC_98411_1,06:55:00,22:50:00,1500,0
BEST_AC_98412_1,06:30:00,23:05:00,1200,0
BEST_AC_98413_1,06:43:00,21:40:00,240,0
BEST_AC_98414_1,00:00:00,24:00:00,600,0
